stage,id,true_label,verdict,score,threshold,fired_rules,blocked,action,correct,avg_response_time_ms,num_runs
email,gen_legit_016_ict.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.13745479996032373,20
email,gen_legit_017_bursary.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.08238305008489988,20
email,gen_legit_018_security.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.09275535003325786,20
email,gen_legit_019_registrar.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.0896262499736622,20
email,gen_legit_020_examsoffice.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.08722855000087293,20
email,gen_legit_021_scholarship.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.07444524990205537,20
email,gen_legit_022_hostel.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.07862065008339414,20
email,gen_legit_023_vc.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.08106744999167859,20
email,gen_legit_024_timetable.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.07253454996316577,20
email,gen_legit_025_ictupdate.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.07499854982597753,20
email,gen_legit_026_library.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.0707816001977335,20
email,gen_legit_027_survey.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.08887719991435006,20
email,gen_legit_028_convocation.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.09144495002146869,20
email,gen_legit_029_sug.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.08373925006708305,20
email,gen_legit_030_transcript.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.0794316000337858,20
email,gen_legit_046_ict.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.08754500004215515,20
email,gen_legit_047_bursary.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.08288920002996747,20
email,gen_legit_048_security.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.08411574999627192,20
email,gen_legit_049_registrar.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.10136860000784509,20
email,gen_legit_050_examsoffice.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.08372080005756288,20
email,gen_legit_051_scholarship.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.07628450002812315,20
email,gen_legit_052_hostel.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.07317515010072384,20
email,gen_legit_053_vc.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.08939745002862765,20
email,gen_legit_054_timetable.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.07021679989520635,20
email,gen_legit_055_ictupdate.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.07361694997598534,20
email,gen_legit_056_library.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.07191315003183263,20
email,gen_legit_057_survey.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.0821341498522088,20
email,gen_legit_058_convocation.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.09247159996448318,20
email,gen_legit_059_sug.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.08309674999509298,20
email,gen_legit_060_transcript.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,0.07418035006594437,20
email,gen_phish_001_ict.eml,phishing,PHISHING,5,4,E1;E2,True,warn_user,True,0.07340009997278685,20
email,gen_phish_002_bursary.eml,phishing,PHISHING,5,4,E1;E2,True,warn_user,True,0.055986200140978326,20
email,gen_phish_003_security.eml,phishing,PHISHING,5,4,E1;E2,True,warn_user,True,0.14314544996523182,20
email,gen_phish_004_registrar.eml,phishing,PHISHING,5,4,E1;E2,True,warn_user,True,0.06899939994582382,20
email,gen_phish_005_examsoffice.eml,phishing,PHISHING,7,4,E1;E2;E3,True,warn_user,True,0.06930339991413348,20
email,gen_phish_006_scholarship.eml,phishing,PHISHING,5,4,E1;E2,True,warn_user,True,0.057450849999440834,20
email,gen_phish_007_hostel.eml,phishing,PHISHING,5,4,E1;E2,True,warn_user,True,0.10408290004306764,20
email,gen_phish_008_vc.eml,phishing,PHISHING,5,4,E1;E2,True,warn_user,True,0.056035500074358424,20
